PhoneIncoming | trigger: hover | mechanic: in
PhoneOff | trigger: tap | mechanic: hangup
PhoneOutgoing | trigger: hover | mechanic: out
PieChart | trigger: hover | mechanic: pull
PiggyBank | trigger: tap | mechanic: drop
Pill | trigger: hover | mechanic: roll
Pin | trigger: tap | mechanic: stick
Pizza | trigger: tap | mechanic: lift
Plane | trigger: hover | mechanic: takeoff
Play | trigger: tap | mechanic: play
Plug | trigger: hover | mechanic: plugin
Plus | trigger: tap | mechanic: pop
Popcorn | trigger: tap | mechanic: pop
PoundSterling | trigger: tap | mechanic: cash
Presentation | trigger: hover | mechanic: point
Puzzle | trigger: tap | mechanic: trace
QrCode | trigger: hover | mechanic: scan
Radio | trigger: hover | mechanic: broadcast
Rainbow | trigger: hover | mechanic: arc
Receipt | trigger: hover | mechanic: total
Recycle | trigger: hover | mechanic: loop
RefreshCw | trigger: tap | mechanic: spin
Repeat | trigger: hover | mechanic: cycle
Rocket | trigger: hover | mechanic: launch
Route | trigger: hover | mechanic: travel
Rss | trigger: hover | mechanic: broadcast
Ruler | trigger: hover | mechanic: mark
Salad | trigger: hover | mechanic: toss
Sandwich | trigger: tap | mechanic: squash
Satellite | trigger: hover | mechanic: transmit
Save | trigger: tap | mechanic: save
ScanFace | trigger: tap | mechanic: recognize
ScanLine | trigger: hover | mechanic: scan
Scissors | trigger: tap | mechanic: snip
Search | trigger: hover | mechanic: scan
Send | trigger: tap | mechanic: fly
SendHorizontal | trigger: tap | mechanic: fly
Server | trigger: hover | mechanic: ping
Settings | trigger: hover | mechanic: turn
Share | trigger: hover | mechanic: spread
Shell | trigger: hover | mechanic: unwind
Shield | trigger: hover | mechanic: guard
ShieldAlert | trigger: hover | mechanic: shake
ShieldCheck | trigger: tap | mechanic: verify
Ship | trigger: hover | mechanic: sail
Shirt | trigger: hover | mechanic: stretch
ShoppingBag | trigger: tap | mechanic: swing
ShoppingCart | trigger: hover | mechanic: roll
Shrink | trigger: hover | mechanic: collapse
Shuffle | trigger: tap | mechanic: mix
Signal | trigger: hover | mechanic: bars
Signpost | trigger: hover | mechanic: creak
Siren | trigger: hover | mechanic: alert
SkipForward | trigger: tap | mechanic: skip
Sliders | trigger: hover | mechanic: adjust
Smartphone | trigger: tap | mechanic: buzz
Smile | trigger: hover | mechanic: grin
Snowflake | trigger: hover | mechanic: spin
Soup | trigger: hover | mechanic: steam
Sparkles | trigger: hover | mechanic: twinkle
Sprout | trigger: hover | mechanic: unfurl
Star | trigger: hover | mechanic: lit
StarOff | trigger: hover | mechanic: cross
Stethoscope | trigger: hover | mechanic: listen
Store | trigger: hover | mechanic: awning
Sun | trigger: hover | mechanic: shine
SunMoon | trigger: hover | mechanic: cycle
Sunrise | trigger: hover | mechanic: rise
Sunset | trigger: hover | mechanic: set
Swing | trigger: hover | mechanic: swing
Sword | trigger: tap | mechanic: slash
Syringe | trigger: tap | mechanic: inject
Tablet | trigger: hover | mechanic: rotate
Tag | trigger: hover | mechanic: swing
Target | trigger: tap | mechanic: focus
Telescope | trigger: hover | mechanic: aim
Tent | trigger: hover | mechanic: pitch
Terminal | trigger: hover | mechanic: run
TestTube | trigger: hover | mechanic: fizz
Thermometer | trigger: hover | mechanic: rise
ThermometerSnowflake | trigger: hover | mechanic: drop
ThermometerSun | trigger: hover | mechanic: rise
ThumbsDown | trigger: tap | mechanic: drop
ThumbsUp | trigger: tap | mechanic: cheer
Ticket | trigger: tap | mechanic: tear
Timer | trigger: tap | mechanic: start
ToggleLeft | trigger: tap | mechanic: switch
